,Target,Actions,Organism
0,ATyrosine-protein kinase ABL1,inhibitor,Humans
1,ABreakpoint cluster region protein,inhibitor,Humans
2,UMast/stem cell growth factor receptor Kit,inhibitor,Humans
3,UProto-oncogene tyrosine-protein kinase receptor Ret,inhibitor,Humans
4,UAngiopoietin-1 receptor,inhibitor,Humans
5,UReceptor-type tyrosine-protein kinase FLT3,inhibitor,Humans
6,UFibroblast growth factor receptor 1,inhibitor,Humans
7,UFibroblast growth factor receptor 2,inhibitor,Humans
8,UFibroblast growth factor receptor 3,inhibitor,Humans
9,UFibroblast growth factor receptor 4,inhibitor,Humans
10,UTyrosine-protein kinase Lck,inhibitor,Humans
11,UProto-oncogene tyrosine-protein kinase Src,inhibitor,Humans
12,UTyrosine-protein kinase Lyn,inhibitor,Humans
13,UVascular endothelial growth factor receptor 2,inhibitor,Humans
14,UPlatelet-derived growth factor receptor alpha,inhibitor,Humans
