,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9605
1,Blood Brain Barrier,+,0.9791
2,Caco-2 permeable,-,0.7583
3,P-glycoprotein substrate,Non-substrate,0.7752
4,P-glycoprotein inhibitor I,Non-inhibitor,0.8991
5,P-glycoprotein inhibitor II,Non-inhibitor,1.0
6,Renal organic cation transporter,Non-inhibitor,0.9053
7,CYP450 2C9 substrate,Non-substrate,0.7898
8,CYP450 2D6 substrate,Non-substrate,0.9116
9,CYP450 3A4 substrate,Non-substrate,0.7558
10,CYP450 1A2 substrate,Non-inhibitor,0.9045
11,CYP450 2C9 inhibitor,Non-inhibitor,0.9658
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9361
13,CYP450 2C19 inhibitor,Non-inhibitor,0.9688
14,CYP450 3A4 inhibitor,Non-inhibitor,0.9661
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.9839
16,Ames test,Non AMES toxic,0.8941
17,Carcinogenicity,Non-carcinogens,0.9288
18,Biodegradation,Not ready biodegradable,0.922
19,Rat acute toxicity,"2.2529 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9685
21,hERG inhibition (predictor II),Non-inhibitor,0.9325
