,Property,Value,Source
0,Water Solubility,0.0027 mg/mL,ALOGPS
1,logP,4.32,ALOGPS
2,logP,3.42,ChemAxon
3,logS,-5.2,ALOGPS
4,pKa (Strongest Acidic),15.23,ChemAxon
5,pKa (Strongest Basic),5.66,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,5,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,89.33 Å2,ChemAxon
10,Rotatable Bond Count,3,ChemAxon
11,Refractivity,125.39 m3·mol-1,ChemAxon
12,Polarizability,48.04 Å3,ChemAxon
13,Number of Rings,6,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
