,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),19.8,,,20656484
1,EC 50 (nM),2.7,,,21218783
2,EC 50 (nM),28.0,,,7636877 / 10052980
3,EC 50 (nM),33.0,,,8071941
4,EC 50 (nM),42.0,,,7650690
5,EC 50 (nM),52.0,,,19791803
6,Kd (nM),14.0,,,8071941
7,Kd (nM),18.0,7.4,4.0,9479476
8,Kd (nM),26.0,7.4,4.0,9479476
9,Kd (nM),28.0,7.4,4.0,9479476
10,Kd (nM),36.0,,,7636877 / 12182871
11,Kd (nM),36.0,7.4,4.0,9479476
12,Kd (nM),42.0,7.4,4.0,9479476
13,Kd (nM),51.0,7.4,4.0,9479476
14,Kd (nM),7.0,7.4,4.0,9479476
15,Ki (nM),16.0,,,9435893
16,Ki (nM),21.0,,,19791803
17,Ki (nM),36.0,,,10052980
