,Property,Value,Source
0,Water Solubility,0.0277 mg/mL,ALOGPS
1,logP,-0.41,ALOGPS
2,logP,-9.3,ChemAxon
3,logS,-4.7,ALOGPS
4,pKa (Strongest Acidic),11.39,ChemAxon
5,pKa (Strongest Basic),7.65,ChemAxon
6,Physiological Charge,2,ChemAxon
7,Hydrogen Acceptor Count,28,ChemAxon
8,Hydrogen Donor Count,20,ChemAxon
9,Polar Surface Area,627.07 Å2,ChemAxon
10,Rotatable Bond Count,36,ChemAxon
11,Refractivity,343.83 m3·mol-1,ChemAxon
12,Polarizability,139.19 Å3,ChemAxon
13,Number of Rings,6,ChemAxon
14,Bioavailability,0,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
