,Property,Value,Source
0,Water Solubility,0.232 mg/mL,ALOGPS
1,logP,-0.72,ALOGPS
2,logP,0.83,ChemAxon
3,logS,-3,ALOGPS
4,pKa (Strongest Acidic),19.18,ChemAxon
5,pKa (Strongest Basic),11.97,ChemAxon
6,Physiological Charge,2,ChemAxon
7,Hydrogen Acceptor Count,5,ChemAxon
8,Hydrogen Donor Count,5,ChemAxon
9,Polar Surface Area,97.78 Å2,ChemAxon
10,Rotatable Bond Count,3,ChemAxon
11,Refractivity,80.72 m3·mol-1,ChemAxon
12,Polarizability,22.14 Å3,ChemAxon
13,Number of Rings,1,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
