,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9604
1,Blood Brain Barrier,+,0.6967
2,Caco-2 permeable,-,0.5144
3,P-glycoprotein substrate,Non-substrate,0.5078
4,P-glycoprotein inhibitor I,Non-inhibitor,0.9322
5,P-glycoprotein inhibitor II,Non-inhibitor,0.6863
6,Renal organic cation transporter,Inhibitor,0.6874
7,CYP450 2C9 substrate,Non-substrate,0.7776
8,CYP450 2D6 substrate,Substrate,0.8415
9,CYP450 3A4 substrate,Non-substrate,0.7896
10,CYP450 1A2 substrate,Non-inhibitor,0.9045
11,CYP450 2C9 inhibitor,Non-inhibitor,0.9163
12,CYP450 2D6 inhibitor,Inhibitor,0.8875
13,CYP450 2C19 inhibitor,Non-inhibitor,0.9025
14,CYP450 3A4 inhibitor,Non-inhibitor,0.881
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.9116
16,Ames test,Non AMES toxic,0.9133
17,Carcinogenicity,Non-carcinogens,0.928
18,Biodegradation,Not ready biodegradable,0.692
19,Rat acute toxicity,"2.5305 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9162
21,hERG inhibition (predictor II),Non-inhibitor,0.901
