,Property,Value,Probability
0,Human Intestinal Absorption,+,1.0
1,Blood Brain Barrier,+,0.8788
2,Caco-2 permeable,+,0.5
3,P-glycoprotein substrate,Non-substrate,0.8307
4,P-glycoprotein inhibitor I,Non-inhibitor,0.8126
5,P-glycoprotein inhibitor II,Inhibitor,0.5
6,Renal organic cation transporter,Non-inhibitor,0.8152
7,CYP450 2C9 substrate,Non-substrate,0.7797
8,CYP450 2D6 substrate,Non-substrate,0.8008
9,CYP450 3A4 substrate,Non-substrate,0.6024
10,CYP450 1A2 substrate,Non-inhibitor,0.5
11,CYP450 2C9 inhibitor,Non-inhibitor,0.5065
12,CYP450 2D6 inhibitor,Non-inhibitor,0.7779
13,CYP450 2C19 inhibitor,Non-inhibitor,0.6811
14,CYP450 3A4 inhibitor,Non-inhibitor,0.5385
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.5668
16,Ames test,Non AMES toxic,0.6543
17,Carcinogenicity,Non-carcinogens,0.8567
18,Biodegradation,Not ready biodegradable,0.9935
19,Rat acute toxicity,"2.3961 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9219
21,hERG inhibition (predictor II),Non-inhibitor,0.7129
