,Target,Actions,Organism
0,AVascular endothelial growth factor receptor 1,inhibitor,Humans
1,AVascular endothelial growth factor receptor 2,inhibitor,Humans
2,AVascular endothelial growth factor receptor 3,Not Available,Humans
3,APlatelet-derived growth factor receptor alpha,inhibitor,Humans
4,APlatelet-derived growth factor receptor beta,inhibitor,Humans
5,AMast/stem cell growth factor receptor Kit,inhibitor,Humans
6,UFibroblast growth factor receptor 3,inhibitor,Humans
7,UTyrosine-protein kinase ITK/TSK,inhibitor,Humans
8,UFibroblast growth factor 1,inhibitor,Humans
9,USH2B adapter protein 3,inhibitor,Humans
