,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),>1000,,,19888761
1,IC 50 (nM),0.2,,,20222733
2,IC 50 (nM),0.4,,,18077425
3,IC 50 (nM),0.6,,,16480284
4,IC 50 (nM),1,,,17981366 / 21334203 / 22101132
5,IC 50 (nM),1,7.5,23.0,14684309
6,IC 50 (nM),1200,,,20403700 / 20558072 / 22204741 / 22739090 / 23375090 / 23434139
7,IC 50 (nM),1360,,,22980218
8,IC 50 (nM),1450,,,12270171
9,IC 50 (nM),19.3,,,16480284
10,IC 50 (nM),2,,,20166671
11,IC 50 (nM),20,,,19914837 / 20005116
12,IC 50 (nM),20.3,,,19969465
13,IC 50 (nM),23,,,17889528
14,IC 50 (nM),3.1,,,22169601
15,IC 50 (nM),30,,,19914835 / 20594859 / 20627597 / 21763148 / 21802290 / 21816517 / 22112541 / 22277588 / 22361272 / 23245570 / 23391364
16,IC 50 (nM),32,,,21920766
17,IC 50 (nM),34,,,20346655
18,IC 50 (nM),48,,,20143778
19,IC 50 (nM),51,,,20817523
20,Kd (nM),0.35,,,18183025 / 22037378
21,Kd (nM),0.47,,,18183025 / 22037378
22,Kd (nM),0.48,,,18183025 / 22037378
23,Kd (nM),0.52,,,18183025 / 22037378
24,Kd (nM),0.67,,,18183025 / 22037378
25,Kd (nM),0.85,,,18183025 / 22037378
26,Kd (nM),0.97,,,18183025 / 22037378
27,Kd (nM),1.2,,,18183025 / 22037378
28,Kd (nM),1.4,,,15711537
29,Kd (nM),1.6,,,18183025 / 22037378
30,Kd (nM),140,,,22037378
31,Kd (nM),190,,,22037378
