,Property,Value,Source
0,Water Solubility,0.000478 mg/mL,ALOGPS
1,logP,4.77,ALOGPS
2,logP,4.69,ChemAxon
3,logS,-6,ALOGPS
4,pKa (Strongest Basic),7.74,ChemAxon
5,Physiological Charge,1,ChemAxon
6,Hydrogen Acceptor Count,3,ChemAxon
7,Hydrogen Donor Count,1,ChemAxon
8,Polar Surface Area,64.15 Å2,ChemAxon
9,Rotatable Bond Count,4,ChemAxon
10,Refractivity,148.2 m3·mol-1,ChemAxon
11,Polarizability,50.16 Å3,ChemAxon
12,Number of Rings,5,ChemAxon
13,Bioavailability,1,ChemAxon
14,Rule of Five,Yes,ChemAxon
15,Ghose Filter,No,ChemAxon
16,Veber's Rule,No,ChemAxon
17,MDDR-like Rule,No,ChemAxon
