,Property,Value,Probability
0,Human Intestinal Absorption,+,1.0
1,Blood Brain Barrier,+,0.9673
2,Caco-2 permeable,-,0.5198
3,P-glycoprotein substrate,Non-substrate,0.7838
4,P-glycoprotein inhibitor I,Non-inhibitor,0.8228
5,P-glycoprotein inhibitor II,Inhibitor,0.7092
6,Renal organic cation transporter,Non-inhibitor,0.5098
7,CYP450 2C9 substrate,Non-substrate,0.8394
8,CYP450 2D6 substrate,Non-substrate,0.8075
9,CYP450 3A4 substrate,Non-substrate,0.6535
10,CYP450 1A2 substrate,Inhibitor,0.6426
11,CYP450 2C9 inhibitor,Non-inhibitor,0.7731
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9208
13,CYP450 2C19 inhibitor,Non-inhibitor,0.6689
14,CYP450 3A4 inhibitor,Non-inhibitor,0.6655
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.5753
16,Ames test,AMES toxic,0.5681
17,Carcinogenicity,Non-carcinogens,0.9308
18,Biodegradation,Not ready biodegradable,0.9917
19,Rat acute toxicity,"2.5724 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.633
21,hERG inhibition (predictor II),Non-inhibitor,0.8772
