,Property,Value,Source
0,Water Solubility,0.0267 mg/mL,ALOGPS
1,logP,2.23,ALOGPS
2,logP,1.67,ChemAxon
3,logS,-4.2,ALOGPS
4,pKa (Strongest Acidic),9.62,ChemAxon
5,pKa (Strongest Basic),10.24,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,4,ChemAxon
8,Hydrogen Donor Count,4,ChemAxon
9,Polar Surface Area,98.91 Å2,ChemAxon
10,Rotatable Bond Count,4,ChemAxon
11,Refractivity,98.65 m3·mol-1,ChemAxon
12,Polarizability,37.09 Å3,ChemAxon
13,Number of Rings,3,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
