,Property,Value,Probability
0,Human Intestinal Absorption,+,0.968
1,Blood Brain Barrier,+,0.8113
2,Caco-2 permeable,-,0.6518
3,P-glycoprotein substrate,Substrate,0.5975
4,P-glycoprotein inhibitor I,Non-inhibitor,0.5263
5,P-glycoprotein inhibitor II,Non-inhibitor,0.9376
6,Renal organic cation transporter,Non-inhibitor,0.6963
7,CYP450 2C9 substrate,Non-substrate,0.8644
8,CYP450 2D6 substrate,Non-substrate,0.8011
9,CYP450 3A4 substrate,Substrate,0.5271
10,CYP450 1A2 substrate,Non-inhibitor,0.6983
11,CYP450 2C9 inhibitor,Inhibitor,0.5
12,CYP450 2D6 inhibitor,Non-inhibitor,0.7368
13,CYP450 2C19 inhibitor,Inhibitor,0.5395
14,CYP450 3A4 inhibitor,Non-inhibitor,0.8473
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.5906
16,Ames test,Non AMES toxic,0.5125
17,Carcinogenicity,Non-carcinogens,0.7748
18,Biodegradation,Not ready biodegradable,0.997
19,Rat acute toxicity,"2.5514 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.6526
21,hERG inhibition (predictor II),Inhibitor,0.7705
