,Property,Value,Source
0,Water Solubility,0.177 mg/mL,ALOGPS
1,logP,2.33,ALOGPS
2,logP,1.01,ChemAxon
3,logS,-3.4,ALOGPS
4,pKa (Strongest Acidic),5.46,ChemAxon
5,pKa (Strongest Basic),0.92,ChemAxon
6,Physiological Charge,-1,ChemAxon
7,Hydrogen Acceptor Count,8,ChemAxon
8,Hydrogen Donor Count,1,ChemAxon
9,Polar Surface Area,132.99 Å2,ChemAxon
10,Rotatable Bond Count,5,ChemAxon
11,Refractivity,118.89 m3·mol-1,ChemAxon
12,Polarizability,42.05 Å3,ChemAxon
13,Number of Rings,4,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
