,Property,Value,Source
0,Water Solubility,0.00992 mg/mL,ALOGPS
1,logP,2.48,ALOGPS
2,logP,3.17,ChemAxon
3,logS,-4.5,ALOGPS
4,pKa (Strongest Acidic),9.2,ChemAxon
5,pKa (Strongest Basic),-4.2,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,3,ChemAxon
8,Hydrogen Donor Count,3,ChemAxon
9,Polar Surface Area,78.43 Å2,ChemAxon
10,Rotatable Bond Count,5,ChemAxon
11,Refractivity,90.21 m3·mol-1,ChemAxon
12,Polarizability,32.81 Å3,ChemAxon
13,Number of Rings,2,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
