,Property,Value,Source
0,Water Solubility,0.0105 mg/mL,ALOGPS
1,logP,5.59,ALOGPS
2,logP,4.89,ChemAxon
3,logS,-4.7,ALOGPS
4,pKa (Strongest Acidic),12.18,ChemAxon
5,pKa (Strongest Basic),7.59,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,5,ChemAxon
8,Hydrogen Donor Count,1,ChemAxon
9,Polar Surface Area,72.36 Å2,ChemAxon
10,Rotatable Bond Count,3,ChemAxon
11,Refractivity,155.11 m3·mol-1,ChemAxon
12,Polarizability,56.56 Å3,ChemAxon
13,Number of Rings,6,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
