,Property,Value,Source
0,Water Solubility,0.0078 mg/mL,ALOGPS
1,logP,4.56,ALOGPS
2,logP,4.18,ChemAxon
3,logS,-4.8,ALOGPS
4,pKa (Strongest Acidic),12.55,ChemAxon
5,pKa (Strongest Basic),8.81,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,6,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,90.28 Å2,ChemAxon
10,Rotatable Bond Count,8,ChemAxon
11,Refractivity,129.11 m3·mol-1,ChemAxon
12,Polarizability,47.61 Å3,ChemAxon
13,Number of Rings,3,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
