,Property,Value,Source
0,Water Solubility,0.000411 mg/mL,ALOGPS
1,logP,5.12,ALOGPS
2,logP,6.41,ChemAxon
3,logS,-6,ALOGPS
4,pKa (Strongest Acidic),14.71,ChemAxon
5,pKa (Strongest Basic),4.4,ChemAxon
6,Physiological Charge,0,ChemAxon
7,Hydrogen Acceptor Count,4,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,63.25 Å2,ChemAxon
10,Rotatable Bond Count,7,ChemAxon
11,Refractivity,110.28 m3·mol-1,ChemAxon
12,Polarizability,42.3 Å3,ChemAxon
13,Number of Rings,4,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
