,Property,Value,Source
0,Water Solubility,0.0937 mg/mL,ALOGPS
1,logP,2.01,ALOGPS
2,logP,1.57,ChemAxon
3,logS,-3.6,ALOGPS
4,pKa (Strongest Acidic),11.15,ChemAxon
5,pKa (Strongest Basic),8.79,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,4,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,81.33 Å2,ChemAxon
10,Rotatable Bond Count,4,ChemAxon
11,Refractivity,104.73 m3·mol-1,ChemAxon
12,Polarizability,41.3 Å3,ChemAxon
13,Number of Rings,3,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
