,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9649
1,Blood Brain Barrier,+,0.851
2,Caco-2 permeable,-,0.5138
3,P-glycoprotein substrate,Non-substrate,0.5086
4,P-glycoprotein inhibitor I,Non-inhibitor,0.7141
5,P-glycoprotein inhibitor II,Non-inhibitor,0.9359
6,Renal organic cation transporter,Non-inhibitor,0.8938
7,CYP450 2C9 substrate,Non-substrate,0.6569
8,CYP450 2D6 substrate,Non-substrate,0.8212
9,CYP450 3A4 substrate,Non-substrate,0.5341
10,CYP450 1A2 substrate,Inhibitor,0.6168
11,CYP450 2C9 inhibitor,Non-inhibitor,0.6171
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9145
13,CYP450 2C19 inhibitor,Inhibitor,0.637
14,CYP450 3A4 inhibitor,Non-inhibitor,0.7339
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.6629
16,Ames test,Non AMES toxic,0.8143
17,Carcinogenicity,Non-carcinogens,0.8684
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.7885 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9488
21,hERG inhibition (predictor II),Non-inhibitor,0.6415
