,Property,Measurement,pH,Temperature (°C),References
0,EC 50 (nM),500.0,,,18077425
1,IC 50 (nM),0.16,,,21885287
2,IC 50 (nM),100.0,,,21885287
3,IC 50 (nM),179.7,,,20570526
4,IC 50 (nM),20.0,,,22726931
5,IC 50 (nM),23.0,,,21885287
6,IC 50 (nM),3.0,,,21708468
7,IC 50 (nM),59.0,,,22694093
8,IC 50 (nM),6.2,,,21885287
9,IC 50 (nM),90.0,,,16783341 / 20166671 / 20869793 / 23362959
10,Kd (nM),59.0,,,18183025 / 19654408 / 22037378
11,Kd (nM),93.0,,,15711537 / 18077425
12,Ki (nM),0.021,,,21885287
13,Ki (nM),0.12,,,21885287
14,Ki (nM),22.0,,,21885287
