,Target,Actions,Organism
0,ASerine/threonine-protein kinase B-raf,inhibitor,Humans
1,ARAF proto-oncogene serine/threonine-protein kinase,inhibitor,Humans
2,AVascular endothelial growth factor receptor 3,antagonist,Humans
3,AVascular endothelial growth factor receptor 2,antagonist,Humans
4,AReceptor-type tyrosine-protein kinase FLT3,antagonist,Humans
5,APlatelet-derived growth factor receptor beta,antagonist,Humans
6,AMast/stem cell growth factor receptor Kit,antagonist,Humans
7,AFibroblast growth factor receptor 1,inhibitor,Humans
8,AProto-oncogene tyrosine-protein kinase receptor Ret,inhibitor,Humans
9,AVascular endothelial growth factor receptor 1,inhibitor,Humans
