,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9865
1,Blood Brain Barrier,+,0.7624
2,Caco-2 permeable,+,0.5076
3,P-glycoprotein substrate,Substrate,0.7863
4,P-glycoprotein inhibitor I,Inhibitor,0.8107
5,P-glycoprotein inhibitor II,Non-inhibitor,0.5326
6,Renal organic cation transporter,Inhibitor,0.5299
7,CYP450 2C9 substrate,Non-substrate,0.8287
8,CYP450 2D6 substrate,Non-substrate,0.9116
9,CYP450 3A4 substrate,Substrate,0.6547
10,CYP450 1A2 substrate,Non-inhibitor,0.6602
11,CYP450 2C9 inhibitor,Non-inhibitor,0.8813
12,CYP450 2D6 inhibitor,Non-inhibitor,0.7933
13,CYP450 2C19 inhibitor,Non-inhibitor,0.8516
14,CYP450 3A4 inhibitor,Non-inhibitor,0.9313
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.7962
16,Ames test,Non AMES toxic,0.8134
17,Carcinogenicity,Non-carcinogens,0.919
18,Biodegradation,Not ready biodegradable,0.9819
19,Rat acute toxicity,"2.6013 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.7709
21,hERG inhibition (predictor II),Inhibitor,0.8887
