,Property,Value,Source
0,Water Solubility,0.00611 mg/mL,ALOGPS
1,logP,3.82,ALOGPS
2,logP,3.57,ChemAxon
3,logS,-4.9,ALOGPS
4,pKa (Strongest Basic),10.12,ChemAxon
5,Physiological Charge,1,ChemAxon
6,Hydrogen Acceptor Count,5,ChemAxon
7,Hydrogen Donor Count,2,ChemAxon
8,Polar Surface Area,77.99 Å2,ChemAxon
9,Rotatable Bond Count,5,ChemAxon
10,Refractivity,128.43 m3·mol-1,ChemAxon
11,Polarizability,45.44 Å3,ChemAxon
12,Number of Rings,4,ChemAxon
13,Bioavailability,1,ChemAxon
14,Rule of Five,Yes,ChemAxon
15,Ghose Filter,Yes,ChemAxon
16,Veber's Rule,No,ChemAxon
17,MDDR-like Rule,No,ChemAxon
