,Property,Value,Source
0,Water Solubility,0.0942 mg/mL,ALOGPS
1,logP,3.53,ALOGPS
2,logP,3.2,ChemAxon
3,logS,-3.8,ALOGPS
4,pKa (Strongest Acidic),11.81,ChemAxon
5,pKa (Strongest Basic),8.19,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,10,ChemAxon
8,Hydrogen Donor Count,1,ChemAxon
9,Polar Surface Area,90.44 Å2,ChemAxon
10,Rotatable Bond Count,8,ChemAxon
11,Refractivity,143.64 m3·mol-1,ChemAxon
12,Polarizability,57.31 Å3,ChemAxon
13,Number of Rings,6,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,No,ChemAxon
16,Ghose Filter,No,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,Yes,ChemAxon
