,Property,Value,Probability
0,Human Intestinal Absorption,-,0.7841
1,Blood Brain Barrier,-,0.9599
2,Caco-2 permeable,-,0.6341
3,P-glycoprotein substrate,Substrate,0.8052
4,P-glycoprotein inhibitor I,Inhibitor,0.8564
5,P-glycoprotein inhibitor II,Inhibitor,0.8021
6,Renal organic cation transporter,Non-inhibitor,0.8116
7,CYP450 2C9 substrate,Non-substrate,0.878
8,CYP450 2D6 substrate,Non-substrate,0.9138
9,CYP450 3A4 substrate,Substrate,0.7776
10,CYP450 1A2 substrate,Non-inhibitor,0.9007
11,CYP450 2C9 inhibitor,Non-inhibitor,0.9125
12,CYP450 2D6 inhibitor,Non-inhibitor,0.9414
13,CYP450 2C19 inhibitor,Non-inhibitor,0.9158
14,CYP450 3A4 inhibitor,Non-inhibitor,0.9333
15,CYP450 inhibitory promiscuity,Low CYP Inhibitory Promiscuity,0.9742
16,Ames test,Non AMES toxic,0.6617
17,Carcinogenicity,Non-carcinogens,0.9546
18,Biodegradation,Not ready biodegradable,0.9593
19,Rat acute toxicity,"2.8689 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9831
21,hERG inhibition (predictor II),Non-inhibitor,0.8443
