,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9852
1,Blood Brain Barrier,-,0.507
2,Caco-2 permeable,-,0.5638
3,P-glycoprotein substrate,Substrate,0.6562
4,P-glycoprotein inhibitor I,Inhibitor,0.5371
5,P-glycoprotein inhibitor II,Inhibitor,0.5425
6,Renal organic cation transporter,Non-inhibitor,0.7288
7,CYP450 2C9 substrate,Non-substrate,0.7061
8,CYP450 2D6 substrate,Non-substrate,0.8152
9,CYP450 3A4 substrate,Substrate,0.5704
10,CYP450 1A2 substrate,Non-inhibitor,0.5612
11,CYP450 2C9 inhibitor,Inhibitor,0.8008
12,CYP450 2D6 inhibitor,Non-inhibitor,0.8358
13,CYP450 2C19 inhibitor,Inhibitor,0.574
14,CYP450 3A4 inhibitor,Inhibitor,0.7295
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.8343
16,Ames test,Non AMES toxic,0.7185
17,Carcinogenicity,Non-carcinogens,0.7308
18,Biodegradation,Not ready biodegradable,0.9863
19,Rat acute toxicity,"2.4772 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.8538
21,hERG inhibition (predictor II),Inhibitor,0.718
