,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),0.26,,,23301703
1,IC 50 (nM),0.8,,,20166671
2,IC 50 (nM),14.0,,,17684099
3,IC 50 (nM),4.2,,,17956080
4,Kd (nM),0.016,,,22037378
5,Kd (nM),0.019,,,22037378
6,Kd (nM),0.025,,,22037378
7,Kd (nM),0.028999999999999998,,,22037378
8,Kd (nM),0.032,,,22037378
9,Kd (nM),0.037000000000000005,,,22037378
10,Kd (nM),0.040999999999999995,,,22037378
11,Kd (nM),0.046,,,22037378
12,Kd (nM),0.047,,,22037378
13,Kd (nM),0.057999999999999996,,,22037378
14,Kd (nM),0.064,,,22037378
15,Kd (nM),0.1,,,22037378
16,Kd (nM),0.53,,,18183025
17,Kd (nM),0.72,,,18183025
18,Kd (nM),0.96,,,18183025
19,Kd (nM),1.1,,,18183025
20,Kd (nM),1.2,,,18183025
21,Kd (nM),120.0,,,22037378
22,Kd (nM),2.1,,,18183025
23,Kd (nM),590.0,,,18183025
24,Kd (nM),890.0,,,22037378
