,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),12.0,,,22019188
1,IC 50 (nM),139.0,,,21028894
2,IC 50 (nM),147.0,,,21885287
3,IC 50 (nM),15.0,,,21028894
4,IC 50 (nM),18.0,,,17306530
5,IC 50 (nM),18.0,7.5,22.0,16162008
6,IC 50 (nM),185.0,,,19211249
7,IC 50 (nM),18900.0,,,20403700 / 20558072 / 22204741 / 22739090 / 23375090 / 23434139
8,IC 50 (nM),22.6,,,20570526
9,IC 50 (nM),27.0,,,18077425
10,IC 50 (nM),37.0,,,22765894
11,IC 50 (nM),38.0,,,20166671
12,IC 50 (nM),5.5,,,21885287
13,IC 50 (nM),5.7,,,21885287
14,IC 50 (nM),53.0,,,20833039
15,IC 50 (nM),70.0,,,22560627
16,IC 50 (nM),8.0,,,22221201
17,IC 50 (nM),80.0,7.5,22.0,12646019
18,IC 50 (nM),9.0,,,20869793
19,IC 50 (nM),98.0,,,21885287
20,Kd (nM),0.2,,,18077425
21,Kd (nM),0.23,,,15711537
22,Kd (nM),1.5,,,18183025 / 19654408 / 22037378
23,Ki (nM),2.9,,,21885287
24,Ki (nM),9.0,,,22444679 / 23131541
