,Property,Value,Source
0,Water Solubility,0.179 mg/mL,ALOGPS
1,logP,2.62,ALOGPS
2,logP,2.75,ChemAxon
3,logS,-3.1,ALOGPS
4,pKa (Strongest Acidic),17.22,ChemAxon
5,pKa (Strongest Basic),7.77,ChemAxon
6,Physiological Charge,1,ChemAxon
7,Hydrogen Acceptor Count,4,ChemAxon
8,Hydrogen Donor Count,2,ChemAxon
9,Polar Surface Area,77.82 Å2,ChemAxon
10,Rotatable Bond Count,2,ChemAxon
11,Refractivity,71.54 m3·mol-1,ChemAxon
12,Polarizability,25.79 Å3,ChemAxon
13,Number of Rings,2,ChemAxon
14,Bioavailability,1,ChemAxon
15,Rule of Five,Yes,ChemAxon
16,Ghose Filter,Yes,ChemAxon
17,Veber's Rule,No,ChemAxon
18,MDDR-like Rule,No,ChemAxon
