,Property,Value,Probability
0,Human Intestinal Absorption,+,0.9973
1,Blood Brain Barrier,+,0.9383
2,Caco-2 permeable,+,0.6217
3,P-glycoprotein substrate,Non-substrate,0.5822
4,P-glycoprotein inhibitor I,Non-inhibitor,0.8643
5,P-glycoprotein inhibitor II,Non-inhibitor,0.9045
6,Renal organic cation transporter,Non-inhibitor,0.7451
7,CYP450 2C9 substrate,Non-substrate,0.8103
8,CYP450 2D6 substrate,Non-substrate,0.9116
9,CYP450 3A4 substrate,Non-substrate,0.6582
10,CYP450 1A2 substrate,Inhibitor,0.9107
11,CYP450 2C9 inhibitor,Non-inhibitor,0.9071
12,CYP450 2D6 inhibitor,Inhibitor,0.8932
13,CYP450 2C19 inhibitor,Non-inhibitor,0.9026
14,CYP450 3A4 inhibitor,Non-inhibitor,0.7586
15,CYP450 inhibitory promiscuity,High CYP Inhibitory Promiscuity,0.6667
16,Ames test,Non AMES toxic,0.9133
17,Carcinogenicity,Non-carcinogens,0.8016
18,Biodegradation,Not ready biodegradable,1.0
19,Rat acute toxicity,"2.7833 LD50, mol/kg",Not applicable
20,hERG inhibition (predictor I),Weak inhibitor,0.9337
21,hERG inhibition (predictor II),Non-inhibitor,0.8586
