,Property,Measurement,pH,Temperature (°C),References
0,IC 50 (nM),>100000,,,14736247
1,IC 50 (nM),30900,,,11881993
2,IC 50 (nM),30900,7.0,25.0,12704428
3,IC 50 (nM),41700,,,14736247
4,IC 50 (nM),73500,,,14736247
5,IC 50 (nM),80,,,14736247 / 16750361
6,Ki (nM),0.6,,,11881993 / 14736247
7,Ki (nM),0.87,,,15293997
8,Ki (nM),1.4,,,12825927
9,Ki (nM),1.5,,,9554869
10,Ki (nM),112,,,14736247
11,Ki (nM),28.6,,,11881993
12,Ki (nM),3.6,,,12825927
13,Ki (nM),380,,,12825927
14,Ki (nM),385,,,14736247
15,Ki (nM),53.9,,,11881993
16,Ki (nM),6,,,12825927
17,Ki (nM),67.1,,,14736247
18,Ki (nM),72,,,9554869
19,Ki (nM),860,,,12825927
20,Ki (nM),9.8,7.0,25.0,12704428
