,Property,Value,Source
0,Water Solubility,0.196 mg/mL,ALOGPS
1,logP,3.03,ALOGPS
2,logP,3.07,ChemAxon
3,logS,-3.1,ALOGPS
4,pKa (Strongest Basic),-4.2,ChemAxon
5,Physiological Charge,0,ChemAxon
6,Hydrogen Acceptor Count,2,ChemAxon
7,Hydrogen Donor Count,0,ChemAxon
8,Polar Surface Area,38.83 Å2,ChemAxon
9,Rotatable Bond Count,0,ChemAxon
10,Refractivity,68.55 m3·mol-1,ChemAxon
11,Polarizability,26.8 Å3,ChemAxon
12,Number of Rings,3,ChemAxon
13,Bioavailability,1,ChemAxon
14,Rule of Five,Yes,ChemAxon
15,Ghose Filter,Yes,ChemAxon
16,Veber's Rule,Yes,ChemAxon
17,MDDR-like Rule,No,ChemAxon
