,Unnamed: 0,CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,per_slope_change_0,per_slope_change_1,per_slope_change_2,per_slope_change_3,per_slope_change_4,per_slope_change_5,per_slope_change_6,per_slope_change_7,slope_0,slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,dif_first,dif_last
131120,131120,RT-112,909704,308,308_909704,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.963646752,0.900620419,0.84217782,0.7180989109999999,0.469376109,0.173640564,0.103124519,0.016716479,0.010709234,0.73372126,-0.07272804,1.1230903,1.0045536,0.18901682,-0.7615571,0.22536707,-0.93047816,-0.32717907,-0.5672373,-0.5259833,-1.11671,-2.238505,-2.66162,-0.63464445,-0.7776724,-0.054065205,0.03635324799999995,0.006007245
60,60,NMC-G1,908449,157,157_908449,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.958112359,0.9538681999999998,0.926033352,0.7209806440000001,0.62202622,0.37826905899999996,0.45708509,0.358506658,0.36244318700000006,-0.89867777,5.558401,6.3667684,-0.5174197,1.4633276000000002,-1.3233385,-2.2507408,-1.039933,-0.37698877,-0.03819734,-0.25051346,-1.8454747,-0.8905898000000001,-2.1938145000000002,0.70934457,-0.88720614,0.035428766,0.041887640999999975,0.0039365290000000774
85,85,NMC-G1,908449,170,170_908449,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.986038357,0.9260048670000001,0.942195338,0.976929081,0.645821996,0.096650579,0.033273033,0.019794267,0.017002806999999998,3.2998742999999995,-1.2696908000000002,1.145319,-10.532726,0.65859187,-0.8845941999999999,-0.7873258,-0.79289955,-0.12565506,-0.54030097,0.14571421,0.31260344,-2.979963,-4.9425426,-0.5703979,-0.12130891,-0.02512313,0.013961643000000024,0.0027914600000000026
131171,131171,SBC-3,753610,135,135_753610,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.990962569,0.7173613990000001,0.391355495,0.12174964,0.08948378800000001,0.06973871599999999,0.058549708,0.048249435,0.031395411,29.274203999999997,0.19153689999999998,-0.17300314,-0.88032216,-0.3880502,-0.43332666,-0.07942903,0.63626945,-0.081336915,-2.4624104,-2.934053,-2.4264526,-0.29039258,-0.17770568,-0.100701064,-0.09270248,-0.15168624,0.009037430999999985,0.016854024000000002
112,112,NMC-G1,908449,331,331_908449,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9834662820000001,0.963488947,0.8436909770000001,0.795708015,0.612517667,0.325653858,0.23884075300000002,0.22949170800000002,0.18730496600000002,0.20827710000000002,4.9966935999999995,-0.5994673,2.8178172000000004,0.56593347,-0.6973716999999999,-0.8923083,3.512411,-0.14880359,-0.17979598,-1.0781813999999998,-0.43184695,-1.6487128,-2.5817745,-0.7813179,-0.08414144,-0.37968078,0.01653371799999992,0.042186742
118,118,JHH-2,1240157,219,219_1240157,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9976731940000001,0.9914704059999999,0.985402555,0.9540211270000001,0.397550215,0.359142023,0.38397614399999996,0.380091685,0.34450855399999997,1.6658298999999999,-0.021765113,4.1717873,16.732487,-0.93097895,-1.6465832999999999,-1.1564153,8.160441,-0.020941078999999998,-0.055825353,-0.05461031,-0.28243288,-5.0082374000000005,-0.34567374,0.22350688,-0.034959916,-0.32024828,0.0023268059999999036,0.035583131000000046
131208,131208,KOPN-8,1330933,32,32_1330933,2,2.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.984861945,0.967189297,0.7797370020000001,0.22418552100000003,0.198630356,0.22497069,0.193980995,0.17598376100000002,0.150390517,0.16743445,9.606911,1.963695,-0.95400035,-2.0307243,-2.1765115,-0.4192509,0.4220649,-0.13624227,-0.15905392,-1.6870706999999998,-4.9999633,-0.22999643,0.2370629,-0.27890724,-0.16197513,-0.23033914,0.015138054999999984,0.025593244000000015
131251,131251,KOPN-8,1330933,60,60_1330933,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.957364711,0.980404797,0.990189489,0.95105072,0.9586576109999999,0.728378247,0.11621662599999999,0.046383732999999996,0.056193812,-1.5403991000000001,-0.575318,-5.0000005,-1.1943576,-31.272347999999997,1.6583433,-0.8859241,-1.1404793,-0.38371736,0.2073605,0.08806228,-0.35224918,0.0684623,-2.0725145,-5.509455,-0.62849605,0.088290714,0.04263528900000002,0.009810079000000006
131299,131299,JIMT-1,1298157,159,159_1298157,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.990309288,0.860759798,0.993185015,0.9199451009999999,0.539461402,0.356069656,0.263735858,0.150391024,0.142489524,12.368433,-2.022198,-1.5530663,4.1950307,-0.5180037000000001,-0.49652147,0.22755527,-0.9302879000000001,-0.08721632,-1.1659455,1.1918271999999999,-0.65915936,-3.4243531000000003,-1.6505256000000001,-0.8310042,-1.0201036,-0.07111355,0.009690712000000046,0.007901500000000006
131321,131321,CAKI-1,905963,152,152_905963,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9700324859999999,0.9676885159999999,0.9221761740000001,0.8992931999999999,0.792690566,0.616354063,0.48271023399999996,0.334908043,0.31224416,-0.9217815,18.416414000000003,-0.497213,3.6585932,0.6541486999999999,-0.24210936,0.10594129599999999,-0.8466607,-0.26970738,-0.02109611,-0.40961084,-0.205947,-0.9594233,-1.5870289,-1.2027943,-1.3302199,-0.20397504,0.029967514000000084,0.022663882999999996
